iter	RMSE
0	14.97683917
1	14.58559295
2	14.20317752
3	13.82273552
4	13.49817714
5	13.19353949
6	12.88216407
7	12.59585364
8	12.31023296
9	12.01212699
10	11.72723515
11	11.46833749
12	11.23523319
13	10.99930951
14	10.76399885
15	10.52352035
16	10.31168117
17	10.10520009
18	9.888031002
19	9.704537136
20	9.552320017
21	9.374419781
22	9.199456747
23	9.037853332
24	8.876686419
25	8.730043583
26	8.581149641
27	8.453288732
28	8.320598585
29	8.193159907
30	8.091096808
31	7.984207656
32	7.874668974
33	7.75430779
34	7.642064699
35	7.551788954
36	7.456613411
37	7.378514336
38	7.288618683
39	7.207098558
40	7.135180212
41	7.063301579
42	6.983116956
43	6.921280884
44	6.85222072
45	6.776571231
46	6.707830257
47	6.648036148
48	6.587866703
49	6.53496592
50	6.4857044
51	6.437836302
52	6.387940425
53	6.341164532
54	6.300746965
55	6.256574586
56	6.21786909
57	6.182522359
58	6.150208362
59	6.11956616
60	6.086877298
61	6.050649207
62	6.019939702
63	5.981865183
64	5.952215275
65	5.926675629
66	5.89738771
67	5.869010282
68	5.842988858
69	5.818430482
70	5.792960037
71	5.775871818
72	5.756029813
73	5.733654724
74	5.716455923
75	5.698443517
76	5.683139647
77	5.664245164
78	5.644241868
79	5.62557073
80	5.611497106
81	5.601128548
82	5.585325137
83	5.571562837
84	5.553939043
85	5.536531368
86	5.523417865
87	5.513480375
88	5.500557038
89	5.482573821
90	5.468192465
91	5.459063684
92	5.443068349
93	5.436804246
94	5.425130739
95	5.413008574
96	5.4050501
97	5.395069566
98	5.38190767
99	5.372935768
100	5.361781518
101	5.351870327
102	5.344491779
103	5.331662124
104	5.321282568
105	5.310103175
106	5.298410493
107	5.286877055
108	5.280466178
109	5.273262877
110	5.266353443
111	5.261953813
112	5.253825164
113	5.249916097
114	5.2459669
115	5.238782134
116	5.23324497
117	5.229108178
118	5.222332177
119	5.217342452
120	5.213110615
121	5.207442087
122	5.201470277
123	5.196678085
124	5.19443968
125	5.188321688
126	5.184502305
127	5.177031864
128	5.170815796
129	5.165011144
130	5.161251836
131	5.155682637
132	5.146659626
133	5.14374001
134	5.139121949
135	5.132193935
136	5.127120365
137	5.123197368
138	5.117465914
139	5.110675157
140	5.106933667
141	5.104204753
142	5.100529238
143	5.092128387
144	5.089937668
145	5.087696856
146	5.08520589
147	5.081820135
148	5.076628542
149	5.072815738
150	5.069815712
151	5.065934033
152	5.061374326
153	5.054511157
154	5.049828486
155	5.048276475
156	5.043214056
157	5.039947055
158	5.039156158
159	5.033171362
160	5.028810646
161	5.026099336
162	5.017871339
163	5.013759499
164	5.006022196
165	5.003380052
166	4.998801924
167	4.995970444
168	4.990668813
169	4.987406268
170	4.982242467
171	4.978744777
172	4.974698357
173	4.972819625
174	4.971131567
175	4.966860961
176	4.960908879
177	4.956627544
178	4.951531538
179	4.945370063
180	4.94096146
181	4.937676209
182	4.933453801
183	4.931554082
184	4.92859721
185	4.924004804
186	4.918514486
187	4.913292674
188	4.904149797
189	4.902335328
190	4.897798829
191	4.894810266
192	4.892000365
193	4.888559952
194	4.884321641
195	4.882388556
196	4.878080248
197	4.874841236
198	4.871836538
199	4.868620338
200	4.865303701
201	4.861405097
202	4.856339738
203	4.852461293
204	4.848684848
205	4.84523033
206	4.839466508
207	4.838128268
208	4.835859875
209	4.833242037
210	4.830684303
211	4.825817957
212	4.821439556
213	4.8191739
214	4.814610942
215	4.811394362
216	4.810002079
217	4.809866793
218	4.806816803
219	4.805373358
220	4.800232849
221	4.796776541
222	4.792494531
223	4.789357539
224	4.786705172
225	4.782011073
226	4.778666519
227	4.775692203
228	4.774689821
229	4.772417446
230	4.767530586
231	4.764545263
232	4.759128887
233	4.754265069
234	4.750227561
235	4.748081037
236	4.746689656
237	4.743214031
238	4.739468623
239	4.738933192
240	4.735661864
241	4.732234883
242	4.730772369
243	4.727561567
244	4.722278685
245	4.718488461
246	4.713654188
247	4.708631527
248	4.705055477
249	4.703282015
250	4.699166905
251	4.697383376
252	4.694967674
253	4.693256678
254	4.690855502
255	4.68472277
256	4.679670871
257	4.675858681
258	4.669622957
259	4.66616831
260	4.66385653
261	4.662944081
262	4.65953931
263	4.654855266
264	4.653437138
265	4.6512931
266	4.644355091
267	4.642145732
268	4.638066499
269	4.636036677
270	4.631836575
271	4.629675896
272	4.629120894
273	4.625350168
274	4.620592373
275	4.616023578
276	4.61102822
277	4.609087977
278	4.606949075
279	4.603694067
280	4.601928223
281	4.598459405
282	4.593594756
283	4.591403675
284	4.589297347
285	4.587241678
286	4.586717175
287	4.581538406
288	4.577125473
289	4.575671195
290	4.572260137
291	4.570002873
292	4.563975791
293	4.562177447
294	4.561670406
295	4.559115699
296	4.557257695
297	4.55217089
298	4.55034875
299	4.546607412
300	4.543903132
301	4.54219697
302	4.537804716
303	4.533350278
304	4.530877755
305	4.526744812
306	4.52338614
307	4.520438556
308	4.519974868
309	4.518867842
310	4.518048769
311	4.514175355
312	4.510235663
313	4.508314588
314	4.507691395
315	4.503918103
316	4.501216636
317	4.496393639
318	4.49594335
319	4.493029354
320	4.491692695
321	4.489575968
322	4.487100276
323	4.484859166
324	4.482479492
325	4.478129741
326	4.4725389
327	4.468870608
328	4.467756846
329	4.465640962
330	4.463484648
331	4.461572091
332	4.460496058
333	4.456420475
334	4.4501069
335	4.445709446
336	4.445285768
337	4.440568538
338	4.435269928
339	4.435045711
340	4.430535315
341	4.425907796
342	4.422904675
343	4.422502869
344	4.418928148
345	4.413257599
346	4.408205489
347	4.407765761
348	4.404806301
349	4.401300137
350	4.397854201
351	4.397045316
352	4.394822236
353	4.393831601
354	4.387423572
355	4.385471183
356	4.381653585
357	4.378410697
358	4.375404295
359	4.372516694
360	4.370432736
361	4.363848372
362	4.361798905
363	4.36046896
364	4.355260644
365	4.352645506
366	4.352266828
367	4.349014939
368	4.345996336
369	4.344966035
370	4.340051598
371	4.33644602
372	4.334342749
373	4.332179169
374	4.329998423
375	4.326383261
376	4.323008299
377	4.320992668
378	4.32003615
379	4.315262789
380	4.31322058
381	4.311771038
382	4.309814246
383	4.305806762
384	4.305151385
385	4.301938546
386	4.300328607
387	4.298591162
388	4.295657131
389	4.291043335
390	4.290903899
391	4.289055546
392	4.288483145
393	4.282633294
394	4.278908557
395	4.276893883
396	4.274703288
397	4.273492239
398	4.272389534
399	4.270652972
400	4.265768919
401	4.262858636
402	4.261081584
403	4.260068595
404	4.258039897
405	4.253745906
406	4.250932085
407	4.247358501
408	4.244586979
409	4.241498993
410	4.240560448
411	4.236542658
412	4.232165353
413	4.229052614
414	4.227088292
415	4.226314134
416	4.226216129
417	4.224395014
418	4.222539439
419	4.217991225
420	4.214468992
421	4.212507061
422	4.20958283
423	4.206712856
424	4.206367344
425	4.200928101
426	4.200614694
427	4.196973381
428	4.193322736
429	4.189518197
430	4.187679476
431	4.187543715
432	4.183433304
433	4.18053098
434	4.177114356
435	4.175837235
436	4.170584848
437	4.170486437
438	4.168978487
439	4.168478697
440	4.166107224
441	4.162963237
442	4.161609624
443	4.158709411
444	4.153765719
445	4.149862109
446	4.149203389
447	4.148043405
448	4.144548335
449	4.139240198
450	4.136890094
451	4.136049005
452	4.132881675
453	4.132191661
454	4.130221316
455	4.127533505
456	4.126723444
457	4.12484128
458	4.122378224
459	4.11642613
460	4.11087994
461	4.110627156
462	4.107055735
463	4.100924594
464	4.100794606
465	4.095475733
466	4.093994302
467	4.089093537
468	4.088966344
469	4.084817926
470	4.083022376
471	4.082307389
472	4.081841924
473	4.081016687
474	4.080553983
475	4.076371234
476	4.074185619
477	4.069380053
478	4.065418925
479	4.062805439
480	4.061944258
481	4.059415223
482	4.057298786
483	4.055551717
484	4.053319171
485	4.05139619
486	4.049328478
487	4.047663032
488	4.042921973
489	4.042246081
490	4.036578772
491	4.032969218
492	4.028355541
493	4.026966938
494	4.024276423
495	4.023755373
496	4.020052781
497	4.016230518
498	4.01209926
499	4.008524884
500	4.003651753
501	4.003227232
502	4.002949406
503	4.000436703
504	3.999948563
505	3.997952353
506	3.996208467
507	3.99607644
508	3.995926111
509	3.994594391
510	3.990809284
511	3.988903743
512	3.984156374
513	3.983642653
514	3.981129536
515	3.9780414
516	3.977085331
517	3.976422782
518	3.975454677
519	3.973930632
520	3.972238348
521	3.969182052
522	3.967585055
523	3.96624089
524	3.96402177
525	3.959628648
526	3.958493216
527	3.958215171
528	3.954010339
529	3.951290942
530	3.948258918
531	3.946059645
532	3.94274489
533	3.942489224
534	3.93756803
535	3.937460401
536	3.934975745
537	3.933934535
538	3.929962537
539	3.92513
540	3.92341929
541	3.920612002
542	3.916222858
543	3.9149513
544	3.910841526
545	3.90874894
546	3.907189542
547	3.905903501
548	3.902761465
549	3.900789908
550	3.897954335
551	3.894389925
552	3.891680919
553	3.889012778
554	3.88557996
555	3.882862179
556	3.881207315
557	3.879196522
558	3.877222714
559	3.873872403
560	3.871852095
561	3.86968822
562	3.867667244
563	3.865105003
564	3.862558817
565	3.860147019
566	3.856733086
567	3.853440466
568	3.852986149
569	3.85090584
570	3.85014587
571	3.846853233
572	3.84554097
573	3.842695121
574	3.841125698
575	3.837381428
576	3.835208031
577	3.833068273
578	3.83258482
579	3.83050551
580	3.829215774
581	3.826928676
582	3.824526829
583	3.824238346
584	3.8227593
585	3.820555491
586	3.819800968
587	3.817838927
588	3.814405087
589	3.813360443
590	3.810465834
591	3.806836784
592	3.806348122
593	3.805896377
594	3.804011534
595	3.802363516
596	3.80201302
597	3.801470324
598	3.798258714
599	3.794473361
600	3.793782888
601	3.789931768
602	3.788517654
603	3.786118744
604	3.785904751
605	3.782267772
606	3.780189013
607	3.778509248
608	3.775394235
609	3.774959271
610	3.773605699
611	3.770526172
612	3.768058767
613	3.764253735
614	3.764110053
615	3.763162277
616	3.759371546
617	3.756674529
618	3.75482368
619	3.751483031
620	3.750833065
621	3.750767951
622	3.749287962
623	3.748210903
624	3.745025913
625	3.741807659
626	3.739438242
627	3.737656572
628	3.735824472
629	3.73175101
630	3.730310852
631	3.727529477
632	3.726352838
633	3.721798752
634	3.721294718
635	3.719759589
636	3.716704391
637	3.714385651
638	3.709098615
639	3.70611338
640	3.70411362
641	3.700284487
642	3.699081621
643	3.696764323
644	3.695387127
645	3.694876292
646	3.693755326
647	3.69251862
648	3.69191003
649	3.690488805
650	3.690152842
651	3.689190253
652	3.686985819
653	3.68486674
654	3.680755851
655	3.679112537
656	3.677999068
657	3.675994828
658	3.672788146
659	3.669904903
660	3.668374177
661	3.668000338
662	3.663794771
663	3.661527348
664	3.659512375
665	3.658133788
666	3.657843339
667	3.653416518
668	3.649281817
669	3.648009156
670	3.646194378
671	3.643517457
672	3.643217817
673	3.641029548
674	3.638783701
675	3.637792507
676	3.634973565
677	3.633089313
678	3.631374778
679	3.630429126
680	3.626680235
681	3.624600999
682	3.622962924
683	3.61922759
684	3.61913486
685	3.61555878
686	3.615229284
687	3.611946881
688	3.611864406
689	3.611692327
690	3.611618643
691	3.610121807
692	3.608466632
693	3.605016447
694	3.602856648
695	3.602578803
696	3.598467704
697	3.597575584
698	3.593115242
699	3.592957345
700	3.59054091
701	3.589363157
702	3.589114509
703	3.58756752
704	3.585894825
705	3.58113998
706	3.580296636
707	3.580026956
708	3.577238033
709	3.574838088
710	3.574577213
711	3.573533112
712	3.570376322
713	3.567031551
714	3.566777412
715	3.566674954
716	3.56521212
717	3.563150562
718	3.561816849
719	3.561639195
720	3.559136277
721	3.555353067
722	3.554670091
723	3.554438621
724	3.551032254
725	3.549373922
726	3.548178056
727	3.544789964
728	3.543072587
729	3.539709272
730	3.53785434
731	3.535744357
732	3.533405024
733	3.532606617
734	3.530992285
735	3.527860143
736	3.524629056
737	3.522322515
738	3.52205332
739	3.521927558
740	3.52019852
741	3.519545164
742	3.514688285
743	3.513978042
744	3.51346073
745	3.511938345
746	3.51047431
747	3.510302647
748	3.509941453
749	3.506030523
750	3.504075996
751	3.503204473
752	3.500508816
753	3.498090836
754	3.496609358
755	3.493895912
756	3.491332085
757	3.489409668
758	3.488944266
759	3.485525459
760	3.481188648
761	3.48066213
762	3.479207043
763	3.477749296
764	3.476673471
765	3.475548693
766	3.473252668
767	3.470082615
768	3.470007737
769	3.467799148
770	3.46767715
771	3.466279119
772	3.462118088
773	3.458534829
774	3.457792379
775	3.455631467
776	3.453821167
777	3.451386069
778	3.448403915
779	3.447762828
780	3.445817683
781	3.445468388
782	3.444922699
783	3.443400867
784	3.441496462
785	3.441213865
786	3.439148529
787	3.437266443
788	3.437009919
789	3.436489347
790	3.43641553
791	3.435250965
792	3.434784953
793	3.431256408
794	3.429599709
795	3.425611266
796	3.423162941
797	3.421529434
798	3.419365865
799	3.418796103
800	3.417911096
801	3.417334791
802	3.416701306
803	3.413180341
804	3.411351008
805	3.409736894
806	3.409640295
807	3.407148814
808	3.407042923
809	3.405876073
810	3.402778898
811	3.399482595
812	3.398131485
813	3.397329236
814	3.394726814
815	3.391867771
816	3.390710207
817	3.390516936
818	3.387853812
819	3.385792005
820	3.383811571
821	3.381285584
822	3.377900737
823	3.376167401
824	3.374422523
825	3.37429603
826	3.374063202
827	3.371702916
828	3.370002386
829	3.368601596
830	3.365615332
831	3.365368517
832	3.362568059
833	3.359484122
834	3.358194445
835	3.355233913
836	3.354409313
837	3.353829248
838	3.352257909
839	3.348772018
840	3.345789303
841	3.343861117
842	3.340763823
843	3.339329703
844	3.339058148
845	3.337808842
846	3.33465879
847	3.333604207
848	3.332714063
849	3.331991596
850	3.331320596
851	3.330247822
852	3.3280443
853	3.32575821
854	3.323804019
855	3.32175994
856	3.320415026
857	3.318952069
858	3.318186423
859	3.317201505
860	3.315655622
861	3.314037861
862	3.313360436
863	3.312730532
864	3.309403917
865	3.306574892
866	3.305176014
867	3.304401857
868	3.300285968
869	3.299231298
870	3.2974801
871	3.296255615
872	3.296003695
873	3.29506334
874	3.294937583
875	3.294639012
876	3.291786362
877	3.289167944
878	3.28694891
879	3.285425177
880	3.284829225
881	3.282225419
882	3.281864616
883	3.279030179
884	3.278291619
885	3.274860105
886	3.274412354
887	3.273988635
888	3.273441306
889	3.271860468
890	3.271249719
891	3.268822979
892	3.267149629
893	3.266578063
894	3.266134988
895	3.264544554
896	3.264280346
897	3.263858564
898	3.262350318
899	3.262049975
900	3.258980308
901	3.256641294
902	3.254400754
903	3.253846393
904	3.25376171
905	3.252503183
906	3.250447877
907	3.247539191
908	3.246636865
909	3.246031359
910	3.243840134
911	3.241022525
912	3.239738596
913	3.236544479
914	3.236370284
915	3.233475277
916	3.232058384
917	3.228638646
918	3.227543067
919	3.227383797
920	3.223423358
921	3.222180939
922	3.219534348
923	3.215692494
924	3.215671656
925	3.214060609
926	3.212958624
927	3.212886508
928	3.212864763
929	3.20984446
930	3.209011659
931	3.208312286
932	3.206481926
933	3.205158967
934	3.204333599
935	3.203470632
936	3.203197731
937	3.201418824
938	3.200444507
939	3.20009033
940	3.197619243
941	3.196749494
942	3.192917585
943	3.191866596
944	3.190615233
945	3.190553907
946	3.189125663
947	3.186727866
948	3.183952477
949	3.18240939
950	3.181687425
951	3.180494077
952	3.179707737
953	3.177289151
954	3.176950347
955	3.175160311
956	3.172792455
957	3.169141412
958	3.168624913
959	3.168563832
960	3.167334693
961	3.165956221
962	3.16288078
963	3.159499465
964	3.159282094
965	3.158089952
966	3.155558959
967	3.154465196
968	3.150462906
969	3.148740429
970	3.148345562
971	3.145630042
972	3.145503073
973	3.1443596
974	3.143988448
975	3.141599607
976	3.139432708
977	3.137852632
978	3.134889695
979	3.133831889
980	3.131682134
981	3.129778383
982	3.126857138
983	3.12611426
984	3.125388929
985	3.125307697
986	3.125047896
987	3.122678191
988	3.11939344
989	3.1177781
990	3.117573239
991	3.116572817
992	3.114905317
993	3.112594114
994	3.111337171
995	3.110803596
996	3.108027504
997	3.107217103
998	3.106701905
999	3.106666327
