iter	Passed	Remaining
0	166	165893
1	168	84088
2	170	56750
3	173	43110
4	175	34909
5	177	29486
6	180	25596
7	182	22651
8	184	20360
9	186	18511
10	188	16923
11	189	15601
12	190	14476
13	191	13506
14	192	12664
15	193	11922
16	194	11270
17	195	10682
18	196	10154
19	197	9679
20	198	9248
21	199	8857
22	200	8500
23	201	8174
24	201	7870
25	202	7594
26	204	7352
27	204	7114
28	205	6893
29	206	6688
30	207	6496
31	208	6316
32	209	6145
33	210	5983
34	211	5828
35	212	5683
36	213	5547
37	213	5416
38	214	5296
39	215	5180
40	216	5070
41	217	4966
42	218	4866
43	219	4770
44	220	4678
45	221	4598
46	222	4512
47	223	4431
48	224	4352
49	225	4278
50	226	4205
51	226	4135
52	227	4072
53	233	4082
54	235	4041
55	237	4001
56	239	3956
57	240	3909
58	242	3863
59	243	3812
60	244	3760
61	245	3714
62	246	3667
63	247	3620
64	248	3575
65	249	3529
66	250	3492
67	252	3457
68	253	3421
69	254	3383
70	255	3344
71	256	3308
72	257	3272
73	258	3237
74	259	3201
75	260	3167
76	261	3132
77	262	3098
78	263	3066
79	263	3034
80	264	3004
81	267	2995
82	269	2972
83	270	2946
84	271	2918
85	272	2891
86	273	2868
87	276	2865
88	277	2839
89	278	2813
90	279	2792
91	280	2770
92	283	2762
93	283	2735
94	284	2711
95	285	2688
96	286	2665
97	287	2645
98	288	2624
99	289	2605
100	292	2599
101	293	2581
102	293	2560
103	295	2543
104	296	2530
105	297	2512
106	299	2496
107	302	2495
108	303	2477
109	303	2457
110	304	2438
111	305	2419
112	305	2401
113	306	2384
114	307	2366
115	308	2348
116	309	2333
117	311	2328
118	312	2313
119	313	2298
120	314	2287
121	317	2287
122	318	2272
123	319	2256
124	320	2241
125	320	2226
126	321	2211
127	322	2197
128	323	2183
129	324	2169
130	326	2163
131	327	2150
132	327	2138
133	329	2127
134	331	2125
135	333	2115
136	333	2103
137	334	2090
138	335	2078
139	336	2065
140	337	2053
141	337	2040
142	338	2028
143	339	2018
144	341	2013
145	342	2001
146	343	1992
147	345	1986
148	346	1980
149	347	1970
150	348	1959
151	349	1948
152	349	1937
153	350	1926
154	351	1915
155	352	1905
156	352	1894
157	354	1887
158	354	1877
159	355	1868
160	356	1859
161	358	1852
162	361	1854
163	361	1844
164	362	1835
165	363	1826
166	364	1817
167	365	1807
168	365	1798
169	366	1789
170	367	1780
171	368	1775
172	369	1768
173	370	1760
174	371	1751
175	372	1743
176	373	1736
177	375	1732
178	378	1735
179	379	1728
180	380	1720
181	381	1714
182	385	1721
183	387	1720
184	388	1712
185	389	1704
186	390	1696
187	390	1688
188	391	1680
189	392	1672
190	393	1665
191	393	1657
192	394	1650
193	395	1642
194	396	1635
195	396	1627
196	397	1620
197	399	1619
198	401	1615
199	402	1608
200	402	1601
201	403	1594
202	404	1587
203	405	1580
204	405	1573
205	406	1567
206	407	1560
207	408	1553
208	408	1546
209	409	1540
210	410	1533
211	410	1527
212	411	1521
213	412	1514
214	414	1514
215	415	1509
216	417	1505
217	417	1497
218	418	1491
219	418	1485
220	419	1479
221	420	1473
222	421	1467
223	421	1461
224	422	1455
225	423	1449
226	424	1443
227	424	1438
228	425	1432
229	426	1426
230	426	1420
231	427	1415
232	429	1412
233	430	1409
234	431	1405
235	432	1400
236	433	1394
237	434	1389
238	434	1384
239	435	1379
240	436	1374
241	437	1369
242	437	1364
243	438	1359
244	439	1354
245	440	1349
246	440	1344
247	441	1339
248	442	1334
249	443	1331
250	445	1328
251	446	1324
252	446	1319
253	447	1314
254	448	1309
255	448	1304
256	449	1300
257	450	1295
258	451	1290
259	451	1286
260	452	1281
261	453	1277
262	454	1272
263	454	1268
264	455	1263
265	456	1259
266	457	1254
267	458	1252
268	460	1250
269	460	1246
270	461	1241
271	462	1237
272	463	1233
273	463	1229
274	464	1225
275	465	1222
276	466	1217
277	467	1213
278	468	1209
279	468	1205
280	469	1201
281	470	1197
282	470	1193
283	471	1189
284	472	1186
285	474	1183
286	475	1180
287	476	1178
288	477	1174
289	478	1171
290	479	1167
291	480	1163
292	480	1160
293	481	1156
294	482	1152
295	482	1148
296	483	1144
297	484	1141
298	485	1137
299	485	1133
300	486	1130
301	487	1127
302	489	1125
303	490	1123
304	491	1119
305	492	1116
306	492	1112
307	493	1109
308	494	1105
309	495	1102
310	496	1098
311	496	1095
312	497	1091
313	498	1088
314	498	1084
315	499	1081
316	500	1077
317	500	1074
318	501	1070
319	502	1068
320	504	1066
321	505	1063
322	505	1060
323	506	1057
324	507	1054
325	510	1055
326	511	1053
327	512	1050
328	513	1048
329	514	1044
330	515	1041
331	516	1038
332	517	1035
333	518	1033
334	519	1030
335	519	1027
336	520	1023
337	521	1020
338	521	1017
339	522	1014
340	523	1011
341	524	1008
342	524	1005
343	525	1002
344	526	999
345	527	996
346	527	993
347	528	990
348	529	987
349	529	984
350	530	981
351	532	979
352	533	977
353	533	974
354	534	971
355	535	968
356	536	965
357	536	962
358	537	959
359	538	956
360	538	953
361	539	951
362	540	948
363	541	945
364	541	942
365	542	939
366	543	936
367	543	934
368	544	931
369	545	928
370	546	926
371	547	924
372	548	922
373	549	919
374	550	917
375	550	914
376	551	911
377	552	908
378	553	906
379	553	903
380	554	900
381	555	898
382	556	895
383	556	893
384	557	890
385	558	887
386	558	885
387	559	882
388	560	880
389	561	877
390	561	874
391	562	872
392	563	870
393	564	867
394	564	865
395	565	862
396	566	860
397	567	857
398	567	855
399	568	852
400	569	850
401	570	847
402	570	845
403	571	843
404	572	840
405	572	838
406	573	835
407	574	833
408	575	830
409	575	828
410	576	826
411	577	824
412	578	821
413	578	819
414	579	817
415	580	814
416	580	812
417	581	809
418	582	807
419	583	805
420	583	802
421	584	800
422	585	798
423	586	796
424	586	793
425	587	791
426	588	789
427	588	787
428	589	784
429	590	782
430	591	780
431	592	778
432	592	776
433	593	774
434	594	771
435	595	769
436	595	767
437	596	765
438	597	763
439	597	760
440	598	758
441	599	756
442	600	754
443	600	752
444	601	750
445	602	747
446	602	745
447	603	743
448	604	741
449	605	739
450	605	737
451	606	735
452	607	733
453	608	731
454	608	729
455	609	727
456	610	724
457	610	722
458	611	720
459	612	718
460	613	716
461	613	714
462	614	712
463	615	710
464	615	708
465	616	706
466	617	704
467	618	702
468	618	700
469	619	698
470	620	696
471	620	694
472	621	692
473	622	690
474	623	688
475	623	686
476	624	684
477	625	682
478	626	681
479	626	679
480	627	677
481	628	675
482	629	673
483	629	671
484	630	669
485	631	667
486	631	665
487	632	663
488	633	662
489	634	660
490	635	658
491	635	656
492	636	654
493	637	653
494	638	651
495	638	649
496	639	647
497	640	645
498	641	643
499	641	641
500	642	640
501	643	638
502	644	636
503	644	634
504	645	632
505	646	630
506	647	629
507	647	627
508	648	625
509	649	623
510	649	621
511	650	620
512	651	618
513	652	616
514	652	614
515	653	613
516	654	611
517	655	609
518	655	607
519	656	606
520	657	604
521	658	602
522	658	600
523	659	599
524	660	597
525	660	595
526	661	593
527	662	592
528	663	590
529	663	588
530	664	587
531	665	585
532	666	583
533	666	582
534	667	580
535	668	578
536	669	576
537	669	575
538	670	573
539	671	571
540	672	570
541	672	568
542	673	566
543	674	565
544	675	563
545	675	561
546	676	560
547	677	558
548	678	557
549	678	555
550	679	553
551	680	552
552	680	550
553	681	548
554	682	547
555	683	545
556	684	544
557	684	542
558	685	540
559	686	539
560	687	537
561	687	536
562	688	534
563	689	532
564	690	531
565	691	529
566	691	528
567	692	526
568	693	525
569	694	523
570	695	522
571	695	520
572	696	519
573	697	517
574	698	516
575	698	514
576	699	512
577	700	511
578	701	509
579	701	508
580	702	506
581	703	505
582	703	503
583	705	502
584	706	500
585	707	499
586	708	498
587	709	496
588	710	495
589	711	494
590	713	493
591	714	492
592	715	491
593	716	489
594	717	488
595	718	487
596	720	486
597	721	484
598	722	483
599	723	482
600	725	481
601	728	481
602	730	480
603	731	479
604	732	478
605	733	476
606	734	475
607	735	474
608	736	473
609	737	471
610	738	470
611	739	468
612	740	467
613	741	466
614	742	464
615	743	463
616	745	462
617	746	461
618	747	459
619	749	459
620	750	458
621	751	456
622	752	455
623	753	454
624	754	452
625	755	451
626	756	450
627	757	448
628	758	447
629	759	446
630	760	444
631	761	443
632	762	441
633	762	440
634	763	438
635	764	437
636	764	435
637	765	434
638	766	433
639	767	431
640	769	430
641	770	429
642	771	428
643	772	426
644	773	425
645	774	424
646	776	423
647	777	422
648	778	420
649	779	419
650	780	418
651	780	416
652	781	415
653	782	414
654	783	412
655	784	411
656	785	410
657	786	408
658	787	407
659	787	405
660	788	404
661	789	403
662	790	401
663	791	400
664	792	399
665	793	397
666	794	396
667	795	395
668	796	394
669	797	392
670	798	391
671	799	390
672	801	389
673	802	388
674	803	386
675	804	385
676	804	383
677	805	382
678	806	381
679	806	379
680	807	378
681	808	376
682	809	375
683	809	374
684	810	372
685	811	371
686	811	369
687	812	368
688	813	367
689	814	365
690	814	364
691	815	362
692	816	361
693	816	360
694	817	358
695	818	357
696	819	356
697	819	354
698	820	353
699	821	351
700	821	350
701	822	349
702	823	347
703	824	346
704	824	345
705	825	343
706	826	342
707	827	341
708	827	339
709	828	338
710	829	337
711	829	335
712	830	334
713	831	333
714	832	331
715	833	330
716	833	329
717	834	327
718	835	326
719	836	325
720	836	323
721	837	322
722	838	321
723	838	319
724	839	318
725	840	317
726	841	315
727	841	314
728	842	313
729	843	311
730	844	310
731	844	309
732	845	308
733	846	306
734	847	305
735	847	304
736	848	302
737	849	301
738	850	300
739	850	298
740	851	297
741	852	296
742	852	295
743	853	293
744	854	292
745	855	291
746	855	289
747	856	288
748	857	287
749	857	285
750	858	284
751	859	283
752	860	282
753	860	280
754	861	279
755	862	278
756	863	277
757	864	275
758	864	274
759	865	273
760	866	272
761	866	270
762	867	269
763	868	268
764	869	266
765	869	265
766	870	264
767	871	263
768	871	261
769	872	260
770	873	259
771	874	258
772	875	257
773	876	255
774	876	254
775	877	253
776	878	252
777	879	250
778	879	249
779	880	248
780	881	247
781	882	245
782	882	244
783	883	243
784	884	242
785	884	240
786	885	239
787	886	238
788	887	237
789	887	236
790	888	234
791	889	233
792	890	232
793	890	231
794	891	229
795	892	228
796	893	227
797	893	226
798	894	225
799	895	223
800	895	222
801	896	221
802	897	220
803	898	218
804	898	217
805	899	216
806	900	215
807	901	214
808	902	212
809	902	211
810	903	210
811	904	209
812	905	208
813	905	206
814	906	205
815	907	204
816	908	203
817	909	202
818	909	201
819	910	199
820	911	198
821	911	197
822	912	196
823	913	195
824	914	193
825	915	192
826	915	191
827	916	190
828	917	189
829	918	188
830	918	186
831	919	185
832	920	184
833	920	183
834	921	182
835	922	180
836	923	179
837	924	178
838	924	177
839	925	176
840	926	175
841	927	173
842	927	172
843	928	171
844	929	170
845	930	169
846	930	168
847	931	166
848	932	165
849	933	164
850	933	163
851	934	162
852	935	161
853	935	160
854	936	158
855	937	157
856	938	156
857	939	155
858	939	154
859	940	153
860	941	151
861	942	150
862	942	149
863	943	148
864	944	147
865	944	146
866	945	145
867	946	143
868	947	142
869	947	141
870	948	140
871	949	139
872	950	138
873	950	137
874	951	135
875	952	134
876	953	133
877	953	132
878	954	131
879	955	130
880	956	129
881	956	128
882	957	126
883	958	125
884	959	124
885	959	123
886	960	122
887	961	121
888	962	120
889	962	118
890	963	117
891	964	116
892	964	115
893	965	114
894	966	113
895	967	112
896	967	111
897	968	110
898	969	108
899	970	107
900	970	106
901	971	105
902	972	104
903	973	103
904	974	102
905	975	101
906	976	100
907	977	99
908	978	97
909	979	96
910	980	95
911	981	94
912	982	93
913	983	92
914	983	91
915	984	90
916	985	89
917	986	88
918	987	87
919	988	85
920	988	84
921	989	83
922	990	82
923	990	81
924	991	80
925	992	79
926	992	78
927	993	77
928	994	75
929	994	74
930	995	73
931	996	72
932	997	71
933	997	70
934	998	69
935	999	68
936	1000	67
937	1000	66
938	1001	65
939	1002	63
940	1003	62
941	1003	61
942	1004	60
943	1005	59
944	1006	58
945	1006	57
946	1007	56
947	1008	55
948	1008	54
949	1009	53
950	1010	52
951	1011	50
952	1011	49
953	1012	48
954	1013	47
955	1014	46
956	1014	45
957	1015	44
958	1016	43
959	1016	42
960	1017	41
961	1018	40
962	1018	39
963	1019	38
964	1020	37
965	1021	35
966	1021	34
967	1022	33
968	1023	32
969	1024	31
970	1024	30
971	1025	29
972	1026	28
973	1027	27
974	1028	26
975	1028	25
976	1029	24
977	1030	23
978	1030	22
979	1031	21
980	1032	19
981	1033	18
982	1033	17
983	1034	16
984	1035	15
985	1036	14
986	1036	13
987	1037	12
988	1038	11
989	1038	10
990	1039	9
991	1040	8
992	1041	7
993	1042	6
994	1042	5
995	1043	4
996	1044	3
997	1044	2
998	1045	1
999	1046	0
