iter	Passed	Remaining
0	179	179059
1	181	90467
2	183	60853
3	184	46023
4	186	37125
5	188	31224
6	190	27033
7	192	23874
8	194	21455
9	196	19460
10	197	17755
11	198	16338
12	199	15128
13	200	14086
14	200	13183
15	201	12394
16	202	11697
17	203	11076
18	203	10523
19	204	10026
20	205	9573
21	206	9164
22	208	8860
23	210	8540
24	211	8230
25	211	7934
26	212	7659
27	213	7405
28	214	7168
29	214	6947
30	215	6739
31	216	6546
32	217	6364
33	218	6194
34	218	6033
35	219	5882
36	220	5737
37	221	5604
38	224	5530
39	225	5406
40	226	5286
41	226	5172
42	227	5063
43	228	4960
44	229	4860
45	229	4766
46	230	4675
47	231	4589
48	232	4505
49	232	4425
50	233	4348
51	234	4274
52	235	4203
53	236	4141
54	238	4096
55	239	4036
56	240	3976
57	241	3918
58	242	3869
59	244	3826
60	245	3772
61	245	3718
62	246	3667
63	247	3617
64	248	3569
65	248	3522
66	249	3476
67	250	3431
68	251	3390
69	253	3363
70	254	3335
71	255	3295
72	256	3256
73	257	3219
74	258	3182
75	258	3146
76	259	3111
77	260	3076
78	261	3042
79	261	3009
80	262	2977
81	263	2946
82	263	2912
83	264	2882
84	265	2853
85	265	2826
86	268	2815
87	269	2796
88	270	2769
89	271	2743
90	272	2718
91	272	2693
92	273	2668
93	274	2644
94	275	2621
95	275	2598
96	276	2575
97	277	2553
98	278	2531
99	278	2510
100	279	2489
101	280	2469
102	282	2456
103	283	2439
104	283	2420
105	284	2401
106	285	2382
107	286	2364
108	286	2345
109	287	2328
110	288	2310
111	289	2293
112	290	2276
113	290	2260
114	291	2243
115	292	2227
116	292	2210
117	293	2195
118	294	2180
119	295	2165
120	297	2161
121	298	2151
122	299	2138
123	300	2124
124	301	2110
125	302	2096
126	302	2082
127	303	2068
128	304	2055
129	305	2042
130	306	2029
131	306	2017
132	307	2004
133	308	1992
134	309	1980
135	309	1968
136	311	1959
137	312	1951
138	313	1942
139	314	1931
140	315	1920
141	315	1907
142	316	1896
143	317	1885
144	318	1875
145	318	1864
146	319	1854
147	320	1844
148	321	1834
149	321	1824
150	322	1814
151	323	1804
152	324	1795
153	326	1793
154	327	1784
155	328	1775
156	328	1766
157	329	1756
158	330	1747
159	331	1738
160	331	1728
161	332	1719
162	333	1710
163	333	1702
164	334	1693
165	335	1685
166	336	1676
167	336	1668
168	337	1660
169	338	1652
170	339	1645
171	341	1644
172	342	1637
173	343	1630
174	344	1623
175	345	1616
176	346	1610
177	348	1607
178	348	1600
179	349	1592
180	350	1585
181	351	1578
182	352	1571
183	352	1564
184	353	1557
185	354	1550
186	356	1549
187	358	1547
188	359	1542
189	360	1538
190	361	1532
191	362	1526
192	363	1519
193	364	1512
194	364	1506
195	365	1499
196	366	1493
197	367	1487
198	367	1480
199	368	1474
200	369	1469
201	372	1469
202	372	1463
203	373	1457
204	374	1451
205	375	1445
206	375	1440
207	376	1434
208	377	1428
209	378	1422
210	378	1417
211	379	1411
212	380	1405
213	381	1400
214	382	1394
215	382	1389
216	383	1384
217	384	1379
218	386	1378
219	388	1375
220	388	1370
221	389	1365
222	390	1360
223	391	1355
224	391	1349
225	392	1344
226	393	1339
227	394	1334
228	394	1329
